TICKER,COMPANY_NAME,SECTOR,CAP_SIZE,BETA,DIVIDEND_YIELD,SECTOR_PE,EPS,PRICE TO EARNING,DIFFERENTIAL_PE,INV_BETA,SALES,NET PROFIT,EBITDA,EBITDA_MARGIN
MARUTI,Maruti Suzuki India Limited,Automobile,L,5.574585635359116,1.5337423312883436,6.845281403809115,7.603268345468885,7.440303907380609,3.3247119058478116,1.0475851006950634,[4.28906792 4.45110412 4.71386182],[6.03942585 6.2285687  6.25900448],[1.5454594  1.64881138 1.65818786],[2.4080092  2.54880161 2.60513789]
TATAMOTORS,Tata Motors Limited,Automobile,L,9.751381215469614,1.0,6.845281403809115,1.4955890174788622,7.131179069236043,3.5648706355823774,1.0014046259013016,[4.99255971 4.47292775 4.89809519],[4.65395958 5.03177153 5.02455521],[1.13773329 1.24813065 1.23826961],[1.57605246 1.82823167 1.82517249]
M&M,Mahindra & Mahindra Limited,Automobile,L,6.171270718232044,1.9662576687116564,6.845281403809115,2.329787429158337,7.722998705156525,3.1050866439505986,1.03646408839779,[4.58951531 4.53826877 4.69504382],[5.45302392 5.7204404  5.74750694],[1.31852365 1.39588952 1.39618932],[2.2211392  2.41455074 2.43675876]
ASHOKLEY,Ashok Leyland Limited,Automobile,M,7.9609375,1.546468401486989,6.845281403809115,2.1318263179817403,4.957630723544283,4.777878705553235,1.5762567934782612,[4.95388125 4.82355634 5.72952722],[9.09303835 9.22103032 9.22961185],[3.25020904 3.41908067 3.41840981],[5.64255533 5.74284392 5.75310454]
TVSELECT,TVS Electronics Limited,Automobile,M,4.515625,1.6133828996282529,6.845281403809115,2.1325355458239987,10.0,1.0,3.403265449438203,[4.89027702 2.27617886 4.46866899],[9.0981457  9.09890923 9.09891248],[3.11913232 3.12007384 3.12005813],[5.62461137 5.55639326 5.54269797]
ESCORTS,Escorts Limited,Automobile,M,1.0703125,1.446096654275093,6.845281403809115,3.839241689088023,5.8423532244472085,4.115020808157365,9.706445312500001,[7.59275458 6.95917723 7.15300854],[9.19025975 9.17229146 9.16179827],[3.26948474 3.24690571 3.23083833],[5.98948046 5.93855798 5.89723615]
JAMNAAUTO,Jamna Auto Industried Limited,Automobile,S,5.097014925373134,1.8470588235294119,6.845281403809115,4.269252712265236,3.0632517705249747,8.131148037157429,2.970807726075505,[3.47658542 3.30233431 3.66940808],[4.97276898 5.01568418 5.01729961],[2.1061386  2.1324824  2.13223464],[8.5424633  8.54716027 8.55360897]
OLECTRA,Olectra Greentech Limited,Automobile,S,3.8880597014925367,1.0,6.845281403809115,4.239355681724072,3.4823097388241466,7.76258351059094,3.983208955223881,[2.70668695 4.24497435 4.41072109],[4.91061404 4.90218252 4.90312709],[2.06230159 2.05724806 2.05712352],[8.52566915 8.51234503 8.52986972]
JBMA,JBM Auto Limited,Automobile,S,3.6865671641791047,1.1411764705882352,6.845281403809115,4.329212407865799,3.2023981713943117,8.008767767029203,4.195688225538971,[3.51715704 5.04348554 4.71919934],[4.97139428 4.97333108 4.96770518],[2.14892045 2.14030767 2.13073308],[8.53600822 8.54024756 8.54371883]
SHARDAMOTR,Sharda Motor Industries Limited,Automobile,S,3.6865671641791047,1.388235294117647,6.845281403809115,4.71919888104681,2.7349795780717203,8.419865814527313,4.195688225538971,[6.14837663 4.15297906 4.0591816 ],[4.97991744 4.98912185 4.98449001],[2.10699026 2.11359114 2.11221522],[8.53235187 8.54397089 8.54410188]
SBIN,State Bank of India,Banking,L,7.364640883977901,1.7269938650306749,2.760325272843997,1.9450140307760029,7.6213154086373684,2.98602383397718,1.0204291404342798,[4.79106698 4.958247   5.19927214],[7.81102451 6.37411107 6.46420568],[10.          9.03807649  8.69870677],[6.8065011  6.48929552 6.59988731]
HDFCBANK,HDFC Bank,Banking,L,6.61878453038674,1.3680981595092025,2.760325272843997,2.8211397025108673,7.411388910046463,3.274493305887215,1.029659784821169,[4.9024573  5.38358327 5.39494346],[9.40254711 8.73659585 8.46934938],[5.75862472 5.23840368 4.97409888],[7.6748386  7.74113694 7.76407877]
ICICIBANK,ICICI Bank Limited,Banking,L,7.066298342541437,1.2484662576687118,2.760325272843997,2.0596812354419236,7.452395460431108,3.2181443551177233,1.023851232987468,[4.92799513 5.2914954  5.14701978],[7.04801702 6.55294189 6.58792416],[3.90812007 3.4683495  3.41773612],[7.19684137 6.90447442 7.04590203]
BANDHANBNK,Bandhan Bank,Banking,M,7.117187500000002,1.3568773234200744,2.760325272843997,2.6746895720992017,5.714932380914162,3.7555386198286365,1.8922991071428568,[7.17075574 9.1109478  8.78350514],[9.45265228 9.38714433 9.35948882],[4.36142713 4.08009516 3.9851405 ],[7.84528408 7.98150749 8.03301317]
CANBK,Canara Bank,Banking,M,8.734375000000002,1.0,2.760325272843997,1.5538056265408817,5.5058148400818645,4.032661221000701,1.3312709731543624,[9.30565181 7.55682475 7.14980023],[9.11989195 8.97759269 9.03211794],[9.38621836 8.23963567 8.2124884 ],[7.81892893 7.64035123 7.74076327]
PNB,Punjab National Bank,Banking,M,7.609375000000002,1.0,2.760325272843997,1.3802474417138546,5.657217384325214,3.8320225432609263,1.7010103383458643,[10.          7.61992864  7.23447416],[9.25794707 8.42335357 8.59422945],[10.          7.80440409  7.90105773],[7.74614506 7.16074675 7.30766002]
RBLBANK,RBL Bank,Banking,S,10.0,1.0,2.760325272843997,4.490250568218417,3.2703188818525875,7.28836858309356,1.0,[3.39930573 4.1163052  4.10053748],[5.51581368 5.66507292 5.6203926 ],[4.49159381 4.26230169 4.10550776],[8.94153745 9.00579467 9.0244738 ]
CSBBANK,CSB Bank,Banking,S,4.895522388059701,1.0,2.760325272843997,4.12887745806226,3.5040281785138836,6.924802350438472,3.113975576662144,[4.1216638  3.84133249 3.73454688],[5.03782608 4.87713542 4.88141044],[2.5646786  2.46102774 2.4692857 ],[8.96651233 8.90595784 8.92945649]
DCBBANK,DCB Bank,Banking,S,5.029850746268657,1.0,2.760325272843997,4.413230517239793,2.8482257278824896,7.94499123358578,3.0175853406236146,[3.43353504 3.84261871 3.86134934],[5.30825172 5.27678017 5.24954759],[3.26291419 3.13065767 3.05773475],[9.03522117 9.0355339  9.03502778]
CENTRALBK,Central Bank,Banking,S,4.62686567164179,1.0,2.760325272843997,4.011980896818897,2.080458650279162,9.13935614738459,3.3189316575019636,[3.39903053 3.44568751 3.44054604],[3.66920144 1.         1.18322725],[8.40990447 7.20358799 7.48327221],[8.91209163 8.82274283 8.83761663]
ASIANPAINT,Asian Paints Limited,Chemical,L,4.629834254143646,1.5245398773006134,10.0,2.3542174861984853,7.595294767309012,3.2639647832560987,1.0725698073764371,[5.02404899 5.11095481 5.14346512],[5.74386719 5.68440303 5.66651198],[1.30717216 1.28270391 1.27282383],[3.33390186 3.24280838 3.23448395]
PIDILITIND,Pidilite,Chemical,L,4.629834254143646,1.312883435582822,10.0,2.221557874658401,7.582308248914617,3.271518534463967,1.0725698073764371,[4.54675732 4.90404665 4.96357501],[5.49436902 5.48557237 5.47833148],[1.16755631 1.16415648 1.16141736],[3.34892159 3.35017231 3.35020438]
BERGEPAINT,Berger Paints,Chemical,L,4.977900552486188,1.3588957055214723,10.0,1.8450928965757571,7.6335116916749195,3.241735489012417,1.062001227747084,[4.92887383 5.06859625 5.10885028],[5.43748914 5.41935627 5.41601988],[1.14485285 1.13805676 1.13603148],[2.87504908 2.77038675 2.77647354]
TATACHEM,Tata Chemical,Chemical,M,7.539062500000002,2.1152416356877324,10.0,6.1912438505443035,5.378682932701954,4.547826188821123,1.7270951704545454,[6.17247723 5.58658372 5.59993245],[9.59438127 9.43511457 9.38649377],[3.71496585 3.54909227 3.49694549],[10.          8.61922728  8.19904836]
UPL,UPL,Chemical,M,4.515625,2.4052044609665426,10.0,2.212273018946515,9.373008547694528,2.3072367040318174,3.403265449438203,[7.38234163 7.25350638 7.02318044],[9.14424477 9.15346675 9.14903206],[3.37196584 3.34787866 3.33817678],[6.00747181 6.02634328 6.03062575]
DEEPAKNTR,Deepak Nitrite Limited,Chemical,M,7.9609375,1.2676579925650557,10.0,2.88087223767013,6.0551547012319915,4.168364002354373,1.5762567934782612,[4.43225642 6.72835407 6.89906668],[9.15901079 9.13604873 9.13145333],[3.21843183 3.18749748 3.18029083],[6.56704252 6.28196946 6.24141083]
VINATIORGA,Vinati Organics Limited,Chemical,S,1.4029850746268657,1.3529411764705883,10.0,4.688887764210062,3.4217409225465585,8.065290478960378,8.499523658304224,[3.3014088  3.82893068 3.83564896],[5.26514101 5.21113042 5.18251092],[2.23278747 2.21561501 2.20231193],[8.76360301 8.7398181  8.735207  ]
LXCHEM,Laxmi Organic,Chemical,S,7.985074626865671,1.1294117647058823,10.0,4.984711013775271,2.546460823621988,8.641647980429923,1.5697375193000518,[3.9696625  3.71526859 3.8318981 ],[5.01952724 5.00527615 5.00083983],[2.12847851 2.12237425 2.11782862],[8.54011826 8.53740351 8.53713068]
BHARATRAS,Bharat Rasayan,Chemical,S,4.223880597014926,1.011764705882353,10.0,10.0,2.9290965638700492,8.389688659644168,3.6609089384537987,[3.22869742 3.81919577 3.92173617],[5.09341911 5.05911872 5.03994496],[2.15552133 2.14024242 2.13161437],[8.60745463 8.60184932 8.59836597]
GHCL,GHCL,Chemical,S,7.044776119402986,2.1529411764705886,10.0,4.998044592493075,2.492569415820437,8.677134583163541,1.924917397744104,[3.14277209 3.49411578 3.52395088],[5.33437109 5.33713883 5.34355778],[2.35666016 2.36041298 2.36160109],[8.62004916 8.61961532 8.62447133]
HDFC,HDFC Limited,Finance,L,7.414364640883978,1.8098159509202454,5.551615664455382,3.5493644883810505,7.431116231243813,3.314312816401783,1.0198895027624308,[3.73575098 5.0396228  5.22590725],[7.44976703 7.12384871 6.97784684],[3.36288214 3.15588647 3.04567251],[8.13985474 8.26635382 8.33996892]
BAJFINANCE,Bajaj Finance,Finance,L,8.259668508287293,1.1288343558282208,5.551615664455382,3.2907030060708324,7.505722065656182,3.247100262506246,1.0118389897395423,[4.57824456 5.86385423 5.89339834],[5.96552132 5.87835933 5.82266358],[1.7669092  1.67741122 1.62458629],[5.92577513 6.27838327 6.32745703]
BAJAJFINSV,Bajaj Finserv,Finance,L,7.613259668508288,1.01840490797546,5.551615664455382,2.164444362929406,10.0,1.0,1.017811495011132,[2.03875528 6.43782633 6.67567664],[5.39966199 5.38561109 5.37842825],[1.1135092  1.10827184 1.10586171],[6.99278891 6.84568982 6.73874016]
MUTHOOTFIN,Muthoot Finance,Finance,M,4.5859375,2.6282527881040894,5.551615664455382,4.913620551846806,5.324651872065492,4.45510999308573,3.34609375,[7.66244357 7.50562452 7.30073478],[9.5551302  9.45372976 9.41459831],[4.28285898 4.07931186 4.0140207 ],[8.14676252 8.08759287 8.05456404]
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Finance,M,7.679687500000002,1.3122676579925652,5.551615664455382,2.6460165036193133,5.69774067980256,4.130965451314922,1.6753148320895521,[6.7640237  7.60717192 7.54928648],[9.27215095 9.256459   9.24427534],[4.0852108  3.95787262 3.89028004],[7.83373886 7.91691912 7.90585439]
SRTRANSFIN,Shriram Transport Finance Company Limited,Finance,M,9.085937500000002,2.684014869888476,5.551615664455382,6.371792995530739,5.4343753762189495,4.359780746435225,1.2314833603896105,[6.37491839 6.7118919  6.99394021],[9.43637141 9.43757264 9.40377496],[4.93396124 4.83109073 4.70213472],[7.84077724 7.89399123 7.84690662]
AAVAS,Aavas Financiers Limited,Finance,S,3.5522388059701497,1.0,5.551615664455382,4.6919934114269415,3.3340577809420315,7.746854409262742,4.346306442471189,[4.07603905 4.30712323 4.5084203 ],[5.22570228 5.14333613 5.10795675],[2.38118783 2.30884802 2.27714787],[9.01065272 8.99303419 8.99826189]
LICHSGFIN,LIC Housing,Finance,S,8.052238805970148,3.6,5.551615664455382,5.161525861989639,2.654176190654626,8.44025760918697,1.5469740339398896,[3.51171662 3.76498437 3.73250382],[8.03471721 7.82004651 7.7072933 ],[10.          9.36409451  9.06840647],[9.12739923 9.13819698 9.14035299]
MOTILALOFS,Motilal Oswal,Finance,S,4.35820895522388,2.2941176470588234,5.551615664455382,4.702676837853009,3.8856521902049685,7.1842897893242155,3.541905855338691,[ 5.33549044  4.0528327  10.        ],[5.45211906 5.39297014 5.31479042],[2.3468783  2.32277203 2.27634178],[8.72522836 8.75121253 8.80156641]
IDFC,IDFC Limited,Finance,S,8.723880597014926,1.0,5.551615664455382,4.229334793370938,9.94934612358077,1.0,1.335390355912744,[1.         2.3769809  2.91730545],[4.94131576 5.01424533 5.0043444 ],[2.069586   2.09442447 2.09266918],[9.14084052 9.10680372 9.05665622]
TCS,Tata Consultancy Services(TCS),IT,L,4.331491712707183,1.9202453987730062,7.70425850631286,3.7746822441905254,7.409103892147156,3.356719771899496,1.0833604159896002,[4.81635971 5.2509098  5.16085376],[9.88733784 9.57172801 9.39530657],[3.23956858 3.07558531 2.98122326],[3.96508609 3.99847932 3.99917343]
INFY,Infosys,IT,L,4.530386740331492,2.334355828220859,7.70425850631286,2.680556829228032,7.388967171909514,3.371053919499254,1.0759668508287292,[5.07371322 5.22034571 5.13094868],[7.71843194 7.6216317  7.55665446],[2.27755249 2.19612228 2.16882757],[3.69302795 3.76376671 3.81191925]
HCLTECH,HCL Tech,IT,L,4.828729281767956,1.7730061349693251,7.70425850631286,2.4957357445481723,7.38318798080585,3.375167785973511,1.0662983425414365,[5.09978818 5.51744267 5.47634051],[6.59400551 6.51735134 6.47651396],[1.77867448 1.68893043 1.65356078],[4.59744407 4.682438   4.71874842]
TATAELXSI,Tata Elxsi,IT,M,4.09375,1.6022304832713754,7.70425850631286,4.12414864514967,5.8874994983747335,4.141580241538996,3.775225903614458,[7.04008907 6.74755396 6.79253709],[9.14039459 9.13720046 9.13411442],[3.18931649 3.18498489 3.18016128],[6.38921773 6.39795032 6.36751261]
PERSISTENT,Persistent Systems Limited,IT,M,4.7265625,1.4572490706319703,7.70425850631286,4.378052212678292,5.559412496488623,4.366807550048715,3.235478940217391,[7.37809004 6.98587465 6.72795448],[9.1599635  9.15129484 9.1486244 ],[3.21578112 3.20356963 3.20017769],[6.4164434  6.38820638 6.38107725]
OFSS,Oracle Finance,IT,M,4.7265625,7.066914498141265,7.70425850631286,10.0,5.701207913640194,4.269466905706007,3.235478940217391,[6.22932997 5.80918961 5.9134482 ],[9.31654327 9.2848939  9.28246628],[3.44297352 3.41349632 3.40637857],[7.48218773 7.27495266 7.22284927]
FSL,Firstsource Solutions Limited,IT,S,5.768656716417912,3.6588235294117646,7.70425850631286,4.285567712311246,2.84903511072807,8.360491066845517,2.5489738805970146,[4.5662996  3.95096465 3.78115674],[5.23184262 5.18365772 5.17230756],[2.22837877 2.19269884 2.1852452 ],[8.71362756 8.69513288 8.68463014]
NIITLTD,NIIT Limited,IT,S,7.380597014925375,1.4705882352941178,7.70425850631286,4.640646710774526,2.456484430621651,8.676830858350566,1.789672958735733,[3.27723718 3.51212008 3.50440407],[5.76541102 5.34037702 5.25076221],[2.41358612 2.24363114 2.20833324],[10.          9.28435043  9.13565317]
SONATSOFTW,Sonata Software,IT,S,3.216417910447761,3.1294117647058823,7.70425850631286,4.551411114076173,2.925656686776333,8.29874501819436,4.758471157724889,[3.20609228 3.62556566 3.69829939],[5.13507569 5.11473618 5.10368723],[2.17531291 2.16091662 2.15473515],[8.70946141 8.6893234  8.68829681]
BSOFT,Birla Soft,IT,S,6.3059701492537314,1.835294117647059,7.70425850631286,4.3659418622841,2.8938209615168438,8.324400066577589,2.2621268656716427,[3.81189899 4.20886088 3.77573432],[5.10087306 5.10419373 5.10405137],[2.19582564 2.17660035 2.17531114],[8.60963426 8.63273492 8.62729522]
TATASTEEL,Tata Steel,Metals,L,7.76243093922652,2.7116564417177917,1.0,3.533958146103479,7.335088354025441,3.348438598708225,1.0163326208815582,[5.00611342 4.82848842 5.08432463],[6.78083776 6.58087552 6.43022292],[2.01665568 1.98430482 1.91640753],[3.73636625 3.60865152 3.53656163]
JSWSTEEL,JSW Steel,Metals,L,7.364640883977901,1.8190184049079754,1.0,2.3756212974341104,7.3436476502399275,3.33085021288889,1.0204291404342798,[5.14261781 4.79647219 5.09646031],[6.3087741  6.27556319 6.18972468],[1.84081324 1.85585221 1.81567105],[3.16394488 3.14704348 3.14349994]
NMDC,NMDC,Metals,L,6.071823204419889,5.233128834355828,1.0,2.0694752673183796,7.333612613298805,3.3514710790219038,1.03813763879204,[6.21031394 5.17758559 5.43814676],[6.03821284 5.98810686 5.93177861],[1.46322862 1.44432085 1.41679244],[5.73906859 5.79828175 5.69407794]
JINDALSTEL,Jindal Steel & Power,Metals,M,8.804687500000002,1.2007434944237918,1.0,2.560199934706008,4.075869818211004,6.485109090517296,1.3107812499999998,[8.10933471 8.08092053 7.99729347],[9.62507487 9.34039735 9.26517534],[4.55640897 4.14449022 4.02575946],[6.50043501 6.29033068 6.25858362]
SAIL,SAIL,Metals,M,10.000000000000002,3.9553903345724906,1.0,2.078836866338696,4.594365745013845,5.457608304634359,1.0,[6.93071436 6.50704287 6.96424998],[9.49620987 9.35467787 9.22650838],[4.92007109 4.57740094 4.29602942],[6.07474401 5.965603   5.87078998]
APLAPOLLO,APL Apollo tubes,Metals,M,4.1640625,1.0,1.0,2.211766427630616,6.667193707612665,1.349895494423052,3.709542410714286,[6.06021129 6.97022797 7.51543943],[9.11629334 9.11528605 9.11423779],[3.1615414  3.16181243 3.1596591 ],[5.62921219 5.6451786  5.65728538]
TINPLATE,Tinplate,Metals,S,8.723880597014926,1.5647058823529412,1.0,4.357204641447278,3.0303368681380447,7.093611493641442,1.335390355912744,[3.71067093 3.70622394 4.51356232],[5.01464552 4.99569904 4.98269129],[2.1306353  2.12684157 2.12060612],[8.51231947 8.50954223 8.51699316]
KSL,Kalyani Steel,Metals,S,5.902985074626864,3.7882352941176474,1.0,4.910465340977059,2.562311237681268,8.182372400093199,2.4734878240377065,[3.46778214 3.39461001 3.46462144],[5.09666341 5.07207454 5.07522536],[2.16322826 2.15586752 2.16075735],[8.61249296 8.59248658 8.59938263]
USHAMART,Usha Martin,Metals,S,6.776119402985074,1.0,1.0,4.206725681632053,2.486768838760445,8.358105533862615,2.0407803502174167,[3.4031166  3.5034013  3.12459581],[5.19961345 4.97988689 4.87648594],[2.24254058 2.11895878 2.14554259],[8.68696598 8.53744216 8.54088039]
SUNFLAG,Sunflag Iron & Steel,Metals,S,8.388059701492537,1.0,1.0,4.339854425662308,2.575193914640087,8.152403624602165,1.4376791538993778,[3.69091549 3.45948327 3.72086178],[5.03474674 5.0387731  5.02626879],[2.14436133 2.15137808 2.14409411],[8.53763161 8.53764709 8.53546481]
DABUR,Dabur,FMCG,L,2.988950276243094,1.8006134969325154,7.3036593194949715,1.8761256717348642,7.572549318302994,3.232189578851687,1.1710012127745588,[5.33324416 5.08325289 5.04351076],[5.52051004 5.51286586 5.50652633],[1.17225459 1.16922027 1.16685757],[3.3217108  3.37280907 3.37882553]
ITC,ITC,FMCG,L,5.12707182320442,4.809815950920245,7.3036593194949715,1.9713698806008475,7.408675451291036,3.3535825995483015,1.058011049723757,[4.62393656 4.83676624 4.8041236 ],[7.33439559 7.17577209 7.09751289],[2.03713065 2.01712405 1.99043689],[4.70270852 4.7348569  4.69717858]
HINDUNILVR,HUL,FMCG,L,3.8839779005524866,2.334355828220859,7.3036593194949715,2.45078223868826,7.580984842714602,3.2259407863617264,1.1036613915160596,[5.56996151 5.15251428 5.12753063],[6.38015277 6.25909936 6.20241422],[1.61070152 1.55230159 1.52519322],[3.36450289 3.26862097 3.22272892]
PGHH,PGHH(P&G),FMCG,M,1.6328125,2.8178438661710037,7.3036593194949715,9.16837969582006,7.612014928367911,2.882758965156727,7.798339843750002,[7.49413698 7.05738964 6.89918582],[9.17163067 9.16175941 9.16075808],[3.23440308 3.22437247 3.22507379],[6.24964514 6.25879797 6.31165664]
COLPAL,ColPal,FMCG,M,1.1406249999999996,3.6654275092936803,7.3036593194949715,3.407524569678821,6.488125526706529,3.685649759472305,9.427210365853659,[6.51930498 6.35739819 6.3613546 ],[9.22363926 9.20997852 9.20325813],[3.32519873 3.31227542 3.30262573],[6.44872214 6.4237604  6.39567424]
EMAMILTD,Emami,FMCG,M,1.0,2.9182156133828996,7.3036593194949715,2.3501671751342466,6.945728159235924,3.35874486957005,10.0,[6.60512542 6.2190198  6.1989094 ],[9.14988984 9.14482148 9.14486535],[3.23877824 3.2324977  3.23283321],[6.54479439 6.50458886 6.52216545]
GILLETTE,Gilette,FMCG,S,1.0,3.7411764705882353,7.3036593194949715,5.838184277603452,4.881395435980066,6.637933266765512,10.0,[4.00811468 3.67446775 3.60760137],[5.22688758 5.20898893 5.20836512],[2.23803234 2.22987636 2.2304515 ],[8.62211417 8.61866505 8.62073667]
RUCHI,Ruchi Soya,FMCG,S,3.6194029850746268,1.0,7.3036593194949715,4.550168855189422,2.4996515157192642,8.635282631452295,4.270055970149254,[4.13213589 3.78552126 3.4807146 ],[10.          5.76916549  5.28740632],[4.02186062 2.50463249 2.36565364],[8.69671643 8.49759853 8.48337611]
DAAWAT,LT foods,FMCG,S,4.761194029850746,2.447058823529412,7.3036593194949715,4.259811544725921,3.450069322141867,7.838254711827197,3.2143406677950463,[3.44044755 3.55925106 3.57044164],[5.01370461 4.98462504 4.97433065],[2.13666546 2.129537   2.12876697],[8.51309551 8.50992112 8.51048945]
ADFFOODS,ADF Foods,FMCG,S,4.156716417910447,1.4588235294117649,7.3036593194949715,4.493604667212647,3.103653464233522,8.128761801117843,3.7224389416553607,[4.06084896 3.84133285 3.74722649],[4.93826086 4.93353799 4.92966316],[2.07012354 2.06811386 2.06635325],[8.62801592 8.62850714 8.6171814 ]
